"date","Female","Male","Transgender"
2006-01-01,61,90,NA
2006-01-02,62,85,NA
2006-01-03,60,88,NA
2006-01-04,62,84,NA
2006-01-05,65,94,NA
2006-01-06,58,87,NA
2006-01-07,68,87,NA
2006-01-08,65,89,NA
2006-01-09,58,76,NA
2006-01-10,50,62,NA
2006-01-11,54,93,NA
2006-01-12,59,76,NA
2006-01-13,61,80,NA
2006-01-14,53,81,NA
2006-01-15,68,96,NA
2006-01-16,57,93,NA
2006-01-17,69,77,NA
2006-01-18,58,76,NA
2006-01-19,60,81,NA
2006-01-20,72,83,NA
2006-01-21,65,78,NA
2006-01-22,67,91,NA
2006-01-23,50,90,NA
2006-01-24,59,71,NA
2006-01-25,63,79,NA
2006-01-26,62,81,NA
2006-01-27,47,82,NA
2006-01-28,53,105,NA
2006-01-29,62,96,NA
2006-01-30,63,89,NA
2006-01-31,57,84,NA
2006-02-01,59,67,NA
2006-02-02,72,97,NA
2006-02-03,60,92,NA
2006-02-04,72,80,NA
2006-02-05,73,90,NA
2006-02-06,55,71,NA
2006-02-07,54,78,NA
2006-02-08,51,74,NA
2006-02-09,53,85,NA
2006-02-10,65,98,NA
2006-02-11,53,70,NA
2006-02-12,54,103,NA
2006-02-13,60,99,NA
2006-02-14,53,75,NA
2006-02-15,65,73,NA
2006-02-16,52,90,NA
2006-02-17,52,83,NA
2006-02-18,59,91,NA
2006-02-19,51,70,NA
2006-02-20,65,85,NA
2006-02-21,52,70,NA
2006-02-22,63,65,NA
2006-02-23,40,63,NA
2006-02-24,58,58,NA
2006-02-25,58,67,NA
2006-02-26,51,54,NA
2006-02-27,59,72,NA
2006-02-28,48,88,NA
2006-03-01,47,67,NA
2006-03-02,54,63,NA
2006-03-03,39,74,NA
2006-03-04,57,66,NA
2006-03-05,42,72,NA
2006-03-06,51,74,NA
2006-03-07,55,75,NA
2006-03-08,57,70,NA
2006-03-09,49,81,NA
2006-03-10,43,61,NA
2006-03-11,49,66,NA
2006-03-12,59,57,NA
2006-03-13,60,86,NA
2006-03-14,42,76,NA
2006-03-15,48,60,NA
2006-03-16,50,70,NA
2006-03-17,47,69,NA
2006-03-18,47,75,NA
2006-03-19,41,76,NA
2006-03-20,45,73,NA
2006-03-21,52,74,NA
2006-03-22,50,65,NA
2006-03-23,50,68,NA
2006-03-24,51,62,NA
2006-03-25,46,74,NA
2006-03-26,41,80,NA
2006-03-27,54,79,NA
2006-03-28,47,66,NA
2006-03-29,32,63,NA
2006-03-30,42,69,NA
2006-03-31,48,88,NA
2006-04-01,55,67,NA
2006-04-02,41,62,NA
2006-04-03,33,81,NA
2006-04-04,58,68,NA
2006-04-05,33,61,NA
2006-04-06,44,79,NA
2006-04-07,62,71,NA
2006-04-08,54,57,NA
2006-04-09,48,65,NA
2006-04-10,42,63,NA
2006-04-11,51,70,NA
2006-04-12,55,67,NA
2006-04-13,47,66,NA
2006-04-14,41,75,NA
2006-04-15,45,70,NA
2006-04-16,51,62,NA
2006-04-17,49,74,NA
2006-04-18,41,74,NA
2006-04-19,34,55,NA
2006-04-20,62,83,NA
2006-04-21,54,70,NA
2006-04-22,58,73,NA
2006-04-23,61,46,NA
2006-04-24,42,83,NA
2006-04-25,40,76,NA
2006-04-26,50,78,NA
2006-04-27,63,74,NA
2006-04-28,69,69,NA
2006-04-29,57,77,NA
2006-04-30,65,81,NA
2006-05-01,66,70,NA
2006-05-02,91,80,NA
2006-05-03,42,79,NA
2006-05-04,53,76,NA
2006-05-05,45,80,NA
2006-05-06,38,78,NA
2006-05-07,46,75,NA
2006-05-08,56,68,NA
2006-05-09,54,83,NA
2006-05-10,57,71,NA
2006-05-11,59,61,NA
2006-05-12,53,90,NA
2006-05-13,45,78,NA
2006-05-14,55,86,NA
2006-05-15,44,89,NA
2006-05-16,49,68,NA
2006-05-17,47,80,NA
2006-05-18,49,62,NA
2006-05-19,52,82,NA
2006-05-20,52,82,NA
2006-05-21,49,97,NA
2006-05-22,54,65,NA
2006-05-23,57,93,NA
2006-05-24,51,83,NA
2006-05-25,48,94,NA
2006-05-26,46,54,NA
2006-05-27,28,79,NA
2006-05-28,42,61,NA
2006-05-29,41,76,NA
2006-05-30,58,76,NA
2006-05-31,51,68,NA
2006-06-01,42,61,NA
2006-06-02,50,77,NA
2006-06-03,47,78,NA
2006-06-04,41,78,NA
2006-06-05,43,71,NA
2006-06-06,39,65,NA
2006-06-07,45,68,NA
2006-06-08,52,78,NA
2006-06-09,54,66,NA
2006-06-10,49,79,NA
2006-06-11,48,76,NA
2006-06-12,42,60,NA
2006-06-13,49,76,NA
2006-06-14,59,82,NA
2006-06-15,66,76,NA
2006-06-16,52,86,NA
2006-06-17,34,86,NA
2006-06-18,40,71,NA
2006-06-19,70,74,NA
2006-06-20,44,75,NA
2006-06-21,50,72,NA
2006-06-22,36,77,NA
2006-06-23,49,69,NA
2006-06-24,44,77,NA
2006-06-25,40,78,NA
2006-06-26,65,80,NA
2006-06-27,51,69,NA
2006-06-28,41,74,NA
2006-06-29,43,68,NA
2006-06-30,45,80,NA
2006-07-01,38,69,NA
2006-07-02,48,70,NA
2006-07-03,42,87,NA
2006-07-04,65,82,NA
2006-07-05,51,76,NA
2006-07-06,48,85,NA
2006-07-07,57,86,NA
2006-07-08,54,78,NA
2006-07-09,61,97,NA
2006-07-10,71,74,NA
2006-07-11,54,76,NA
2006-07-12,42,73,NA
2006-07-13,41,75,NA
2006-07-14,53,49,NA
2006-07-15,55,81,NA
2006-07-16,57,78,NA
2006-07-17,45,70,NA
2006-07-18,50,72,NA
2006-07-19,52,62,NA
2006-07-20,42,57,NA
2006-07-21,41,74,NA
2006-07-22,46,70,NA
2006-07-23,38,70,NA
2006-07-24,60,63,NA
2006-07-25,44,66,NA
2006-07-26,44,65,NA
2006-07-27,57,54,NA
2006-07-28,52,87,NA
2006-07-29,44,65,NA
2006-07-30,48,69,NA
2006-07-31,47,85,NA
2006-08-01,62,77,NA
2006-08-02,58,55,NA
2006-08-03,53,75,NA
2006-08-04,52,83,NA
2006-08-05,45,64,NA
2006-08-06,45,74,NA
2006-08-07,49,94,NA
2006-08-08,45,74,NA
2006-08-09,39,78,NA
2006-08-10,46,85,NA
2006-08-11,56,66,NA
2006-08-12,44,61,NA
2006-08-13,66,75,NA
2006-08-14,45,83,NA
2006-08-15,54,73,NA
2006-08-16,46,70,NA
2006-08-17,49,84,NA
2006-08-18,68,83,NA
2006-08-19,32,87,NA
2006-08-20,46,85,NA
2006-08-21,54,73,NA
2006-08-22,52,77,NA
2006-08-23,45,75,NA
2006-08-24,58,83,NA
2006-08-25,71,73,NA
2006-08-26,47,85,NA
2006-08-27,50,88,NA
2006-08-28,60,70,NA
2006-08-29,52,76,NA
2006-08-30,54,95,NA
2006-08-31,65,81,NA
2006-09-01,51,67,NA
2006-09-02,58,98,NA
2006-09-03,75,93,NA
2006-09-04,55,110,NA
2006-09-05,54,69,NA
2006-09-06,64,104,NA
2006-09-07,61,75,NA
2006-09-08,63,76,NA
2006-09-09,60,78,NA
2006-09-10,62,72,NA
2006-09-11,63,100,NA
2006-09-12,54,88,NA
2006-09-13,59,71,NA
2006-09-14,56,92,NA
2006-09-15,49,76,NA
2006-09-16,46,90,NA
2006-09-17,63,79,NA
2006-09-18,57,80,NA
2006-09-19,54,93,NA
2006-09-20,53,76,NA
2006-09-21,61,85,NA
2006-09-22,77,82,NA
2006-09-23,47,78,NA
2006-09-24,51,94,NA
2006-09-25,51,87,NA
2006-09-26,51,74,NA
2006-09-27,54,91,NA
2006-09-28,53,81,NA
2006-09-29,64,82,NA
2006-09-30,60,89,NA
2006-10-01,72,82,NA
2006-10-02,41,84,NA
2006-10-03,68,77,NA
2006-10-04,61,79,NA
2006-10-05,48,77,NA
2006-10-06,48,73,NA
2006-10-07,53,93,NA
2006-10-08,46,94,NA
2006-10-09,58,97,NA
2006-10-10,45,112,NA
2006-10-11,62,87,NA
2006-10-12,58,96,NA
2006-10-13,49,78,NA
2006-10-14,52,91,NA
2006-10-15,67,82,NA
2006-10-16,45,77,NA
2006-10-17,45,82,NA
2006-10-18,66,61,NA
2006-10-19,41,74,NA
2006-10-20,65,93,NA
2006-10-21,51,79,NA
2006-10-22,53,87,NA
2006-10-23,44,90,NA
2006-10-24,49,73,NA
2006-10-25,59,77,NA
2006-10-26,65,74,NA
2006-10-27,57,69,NA
2006-10-28,59,91,NA
2006-10-29,72,107,NA
2006-10-30,55,95,NA
2006-10-31,78,108,NA
2006-11-01,74,106,NA
2006-11-02,54,75,NA
2006-11-03,61,107,NA
2006-11-04,44,94,NA
2006-11-05,52,77,NA
2006-11-06,90,97,NA
2006-11-07,47,107,NA
2006-11-08,51,96,NA
2006-11-09,57,94,NA
2006-11-10,74,83,NA
2006-11-11,55,111,NA
2006-11-12,60,86,NA
2006-11-13,72,108,NA
2006-11-14,61,100,NA
2006-11-15,74,104,NA
2006-11-16,66,98,NA
2006-11-17,61,91,NA
2006-11-18,80,87,NA
2006-11-19,75,102,NA
2006-11-20,59,102,NA
2006-11-21,65,94,NA
2006-11-22,70,85,NA
2006-11-23,59,90,NA
2006-11-24,55,86,NA
2006-11-25,76,90,NA
2006-11-26,59,98,NA
2006-11-27,67,101,NA
2006-11-28,73,87,NA
2006-11-29,68,76,NA
2006-11-30,49,91,NA
2006-12-01,58,89,NA
2006-12-02,55,90,NA
2006-12-03,69,85,NA
2006-12-04,49,75,NA
2006-12-05,51,97,NA
2006-12-06,58,75,NA
2006-12-07,66,82,NA
2006-12-08,62,92,NA
2006-12-09,72,79,NA
2006-12-10,71,84,NA
2006-12-11,69,100,NA
2006-12-12,51,82,NA
2006-12-13,53,98,NA
2006-12-14,52,74,NA
2006-12-15,53,77,NA
2006-12-16,67,81,NA
2006-12-17,50,82,NA
2006-12-18,61,93,NA
2006-12-19,72,83,NA
2006-12-20,67,86,NA
2006-12-21,65,92,NA
2006-12-22,64,79,NA
2006-12-23,53,76,NA
2006-12-24,53,84,NA
2006-12-25,53,83,NA
2006-12-26,61,77,NA
2006-12-27,58,81,NA
2006-12-28,56,104,NA
2006-12-29,53,89,NA
2006-12-30,72,104,NA
2006-12-31,51,80,NA
2007-01-01,67,84,NA
2007-01-02,65,82,NA
2007-01-03,53,74,NA
2007-01-04,73,105,NA
2007-01-05,67,88,NA
2007-01-06,58,87,NA
2007-01-07,51,95,NA
2007-01-08,63,83,NA
2007-01-09,64,96,NA
2007-01-10,48,73,NA
2007-01-11,63,91,NA
2007-01-12,49,77,NA
2007-01-13,41,68,NA
2007-01-14,55,91,NA
2007-01-15,47,91,NA
2007-01-16,61,77,NA
2007-01-17,58,80,NA
2007-01-18,54,97,NA
2007-01-19,64,83,NA
2007-01-20,78,96,NA
2007-01-21,56,82,NA
2007-01-22,54,92,NA
2007-01-23,61,105,NA
2007-01-24,54,74,NA
2007-01-25,50,78,NA
2007-01-26,64,73,NA
2007-01-27,50,85,NA
2007-01-28,59,71,NA
2007-01-29,58,81,NA
2007-01-30,47,80,NA
2007-01-31,53,85,NA
2007-02-01,52,88,NA
2007-02-02,63,93,NA
2007-02-03,59,72,NA
2007-02-04,50,67,NA
2007-02-05,70,104,NA
2007-02-06,63,79,NA
2007-02-07,59,70,NA
2007-02-08,64,71,NA
2007-02-09,54,85,NA
2007-02-10,51,87,NA
2007-02-11,43,97,NA
2007-02-12,56,76,NA
2007-02-13,56,86,NA
2007-02-14,68,72,NA
2007-02-15,44,71,NA
2007-02-16,56,79,NA
2007-02-17,43,78,NA
2007-02-18,44,69,NA
2007-02-19,40,88,NA
2007-02-20,45,73,NA
2007-02-21,44,77,NA
2007-02-22,53,83,NA
2007-02-23,38,84,NA
2007-02-24,50,76,NA
2007-02-25,57,75,NA
2007-02-26,51,73,NA
2007-02-27,57,78,NA
2007-02-28,53,81,NA
2007-03-01,54,65,NA
2007-03-02,55,82,NA
2007-03-03,47,89,NA
2007-03-04,57,70,NA
2007-03-05,51,67,NA
2007-03-06,67,73,NA
2007-03-07,60,74,NA
2007-03-08,42,72,NA
2007-03-09,51,59,NA
2007-03-10,41,74,NA
2007-03-11,46,60,NA
2007-03-12,61,73,NA
2007-03-13,55,56,NA
2007-03-14,55,91,NA
2007-03-15,43,61,NA
2007-03-16,46,79,NA
2007-03-17,51,58,NA
2007-03-18,46,64,NA
2007-03-19,51,65,NA
2007-03-20,51,82,NA
2007-03-21,51,62,NA
2007-03-22,42,76,NA
2007-03-23,47,83,NA
2007-03-24,48,67,NA
2007-03-25,48,78,NA
2007-03-26,42,80,NA
2007-03-27,49,89,NA
2007-03-28,52,70,NA
2007-03-29,47,70,NA
2007-03-30,48,68,NA
2007-03-31,41,67,NA
2007-04-01,39,69,NA
2007-04-02,45,72,NA
2007-04-03,49,78,NA
2007-04-04,53,72,NA
2007-04-05,54,65,NA
2007-04-06,55,66,NA
2007-04-07,55,66,NA
2007-04-08,58,94,NA
2007-04-09,50,94,NA
2007-04-10,51,55,NA
2007-04-11,62,79,NA
2007-04-12,53,82,NA
2007-04-13,54,72,NA
2007-04-14,40,59,NA
2007-04-15,40,86,NA
2007-04-16,62,71,NA
2007-04-17,39,70,NA
2007-04-18,47,66,NA
2007-04-19,55,85,NA
2007-04-20,43,70,NA
