"date","count"
2006-04-01,122
2007-04-01,108
2008-04-01,152
2009-04-01,119
2010-04-01,149
2011-04-01,136
2012-04-01,151
2013-04-01,158
2014-04-01,143
2015-04-01,153
2016-04-01,141
2017-04-01,152
2018-04-01,165
2019-04-01,173
2020-04-01,163
2021-04-01,217
2006-08-01,139
2007-08-01,124
2008-08-01,117
2009-08-01,111
2010-08-01,154
2011-08-01,132
2012-08-01,148
2013-08-01,188
2014-08-01,154
2015-08-01,156
2016-08-01,155
2017-08-01,179
2018-08-01,155
2019-08-01,167
2020-08-01,221
2006-12-01,147
2007-12-01,128
2008-12-01,160
2009-12-01,141
2010-12-01,150
2011-12-01,152
2012-12-01,159
2013-12-01,159
2014-12-01,150
2015-12-01,196
2016-12-01,145
2017-12-01,168
2018-12-01,188
2019-12-01,171
2020-12-01,195
2006-02-01,126
2007-02-01,140
2008-02-01,166
2009-02-01,160
2010-02-01,160
2011-02-01,172
2012-02-01,173
2013-02-01,166
2014-02-01,149
2015-02-01,154
2016-02-01,163
2017-02-01,196
2018-02-01,218
2019-02-01,192
2020-02-01,176
2021-02-01,198
2006-01-01,151
2007-01-01,151
2008-01-01,112
2009-01-01,149
2010-01-01,197
2011-01-01,194
2012-01-01,186
2013-01-01,155
2014-01-01,183
2015-01-01,187
2016-01-01,185
2017-01-01,184
2018-01-01,202
2019-01-01,187
2020-01-01,212
2021-01-01,191
2006-07-01,107
2007-07-01,126
2008-07-01,134
2009-07-01,126
2010-07-01,107
2011-07-01,144
2012-07-01,115
2013-07-01,138
2014-07-01,155
2015-07-01,163
2016-07-01,153
2017-07-01,184
2018-07-01,169
2019-07-01,201
2020-07-01,206
2006-06-01,103
2007-06-01,153
2008-06-01,106
2009-06-01,150
2010-06-01,165
2011-06-01,130
2012-06-01,270
2013-06-01,136
2014-06-01,206
2015-06-01,171
2016-06-01,146
2017-06-01,205
2018-06-01,196
2019-06-01,183
2020-06-01,274
2021-06-01,275
2006-03-01,114
2007-03-01,119
2008-03-01,137
2009-03-01,150
2010-03-01,167
2011-03-01,184
2012-03-01,139
2013-03-01,159
2014-03-01,162
2015-03-01,172
2016-03-01,142
2017-03-01,157
2018-03-01,182
2019-03-01,215
2020-03-01,151
2021-03-01,185
2006-05-01,136
2007-05-01,125
2008-05-01,164
2009-05-01,124
2010-05-01,126
2011-05-01,134
2012-05-01,139
2013-05-01,179
2014-05-01,144
2015-05-01,157
2016-05-01,158
2017-05-01,164
2018-05-01,158
2019-05-01,166
2020-05-01,134
2021-05-01,523
2006-11-01,180
2007-11-01,138
2008-11-01,163
2009-11-01,142
2010-11-01,156
2011-11-01,139
2012-11-01,160
2013-11-01,140
2014-11-01,182
2015-11-01,170
2016-11-01,158
2017-11-01,166
2018-11-01,186
2019-11-01,220
2020-11-01,209
2006-10-01,154
2007-10-01,131
2008-10-01,134
2009-10-01,115
2010-10-01,139
2011-10-01,134
2012-10-01,159
2013-10-01,166
2014-10-01,159
2015-10-01,154
2016-10-01,155
2017-10-01,193
2018-10-01,170
2019-10-01,170
2020-10-01,206
2006-09-01,118
2007-09-01,108
2008-09-01,135
2009-09-01,127
2010-09-01,161
2011-09-01,124
2012-09-01,163
2013-09-01,140
2014-09-01,196
2015-09-01,145
2016-09-01,142
2017-09-01,180
2018-09-01,154
2019-09-01,143
2020-09-01,277
2006-04-02,103
2007-04-02,117
2008-04-02,142
2009-04-02,125
2010-04-02,147
2011-04-02,117
2012-04-02,108
2013-04-02,156
2014-04-02,163
2015-04-02,137
2016-04-02,177
2017-04-02,145
2018-04-02,158
2019-04-02,161
2020-04-02,140
2021-04-02,226
2006-08-02,113
2007-08-02,104
2008-08-02,124
2009-08-02,111
2010-08-02,164
2011-08-02,150
2012-08-02,133
2013-08-02,163
2014-08-02,137
2015-08-02,136
2016-08-02,120
2017-08-02,131
2018-08-02,154
2019-08-02,184
2020-08-02,203
2006-12-02,145
2007-12-02,145
2008-12-02,131
2009-12-02,133
2010-12-02,138
2011-12-02,172
2012-12-02,165
2013-12-02,158
2014-12-02,182
2015-12-02,258
2016-12-02,159
2017-12-02,153
2018-12-02,171
2019-12-02,194
2020-12-02,204
2006-02-02,169
2007-02-02,156
2008-02-02,143
2009-02-02,153
2010-02-02,152
2011-02-02,164
2012-02-02,145
2013-02-02,144
2014-02-02,151
2015-02-02,159
2016-02-02,186
2017-02-02,162
2018-02-02,200
2019-02-02,179
2020-02-02,204
2021-02-02,184
2006-01-02,147
2007-01-02,147
2008-01-02,138
2009-01-02,157
2010-01-02,183
2011-01-02,175
2012-01-02,201
2013-01-02,150
2014-01-02,174
2015-01-02,173
2016-01-02,186
2017-01-02,210
2018-01-02,200
2019-01-02,176
2020-01-02,169
2021-01-02,212
2006-07-02,118
2007-07-02,128
2008-07-02,111
2009-07-02,116
2010-07-02,132
2011-07-02,122
2012-07-02,122
2013-07-02,131
2014-07-02,128
2015-07-02,128
2016-07-02,157
2017-07-02,170
2018-07-02,169
2019-07-02,166
2020-07-02,212
2006-06-02,127
2007-06-02,114
2008-06-02,141
2009-06-02,176
2010-06-02,189
2011-06-02,142
2012-06-02,246
2013-06-02,135
2014-06-02,187
2015-06-02,152
2016-06-02,167
2017-06-02,189
2018-06-02,174
2019-06-02,200
2020-06-02,266
2021-06-02,261
2006-03-02,117
2007-03-02,137
2008-03-02,161
2009-03-02,154
2010-03-02,128
2011-03-02,148
2012-03-02,153
2013-03-02,157
2014-03-02,150
2015-03-02,165
2016-03-02,145
2017-03-02,161
2018-03-02,141
2019-03-02,195
2020-03-02,160
2021-03-02,188
2006-05-02,171
2007-05-02,125
2008-05-02,175
2009-05-02,130
2010-05-02,130
2011-05-02,156
2012-05-02,137
2013-05-02,148
2014-05-02,135
2015-05-02,155
2016-05-02,146
2017-05-02,136
2018-05-02,154
2019-05-02,180
2020-05-02,166
2021-05-02,523
2006-11-02,129
2007-11-02,145
2008-11-02,157
2009-11-02,160
2010-11-02,157
2011-11-02,147
2012-11-02,195
2013-11-02,149
2014-11-02,154
2015-11-02,185
2016-11-02,144
2017-11-02,157
2018-11-02,196
2019-11-02,235
2020-11-02,207
2006-10-02,125
2007-10-02,120
2008-10-02,116
2009-10-02,118
2010-10-02,138
2011-10-02,152
2012-10-02,159
2013-10-02,165
2014-10-02,136
2015-10-02,137
2016-10-02,126
2017-10-02,193
2018-10-02,169
2019-10-02,184
2020-10-02,257
2006-09-02,156
2007-09-02,140
2008-09-02,137
2009-09-02,119
2010-09-02,169
2011-09-02,171
2012-09-02,135
2013-09-02,180
2014-09-02,164
2015-09-02,136
2016-09-02,142
2017-09-02,192
2018-09-02,121
2019-09-02,158
2020-09-02,229
2006-04-03,114
2007-04-03,127
2008-04-03,122
2009-04-03,110
2010-04-03,157
2011-04-03,154
2012-04-03,150
2013-04-03,168
2014-04-03,135
2015-04-03,128
2016-04-03,163
2017-04-03,161
2018-04-03,167
2019-04-03,161
2020-04-03,123
2021-04-03,217
2006-08-03,128
2007-08-03,121
2008-08-03,127
2009-08-03,144
2010-08-03,151
2011-08-03,141
2012-08-03,164
2013-08-03,180
2014-08-03,128
2015-08-03,142
2016-08-03,156
2017-08-03,157
2018-08-03,116
2019-08-03,150
2020-08-03,195
2006-12-03,154
2007-12-03,135
2008-12-03,151
2009-12-03,169
2010-12-03,155
2011-12-03,161
2012-12-03,164
2013-12-03,148
2014-12-03,171
2015-12-03,215
2016-12-03,163
2017-12-03,157
2018-12-03,196
2019-12-03,179
2020-12-03,206
2006-02-03,152
2007-02-03,131
2008-02-03,133
2009-02-03,152
2010-02-03,142
2011-02-03,166
2012-02-03,156
2013-02-03,158
2014-02-03,178
2015-02-03,171
2016-02-03,169
2017-02-03,175
2018-02-03,196
2019-02-03,187
2020-02-03,206
2021-02-03,191
2006-01-03,148
2007-01-03,127
2008-01-03,131
2009-01-03,164
2010-01-03,156
2011-01-03,170
2012-01-03,187
2013-01-03,155
2014-01-03,171
2015-01-03,206
2016-01-03,194
2017-01-03,209
2018-01-03,191
2019-01-03,180
2020-01-03,195
2021-01-03,198
2006-07-03,129
2007-07-03,131
2008-07-03,136
2009-07-03,111
2010-07-03,140
2011-07-03,142
2012-07-03,131
2013-07-03,147
2014-07-03,192
2015-07-03,148
2016-07-03,149
2017-07-03,185
2018-07-03,146
2019-07-03,137
2020-07-03,228
2006-06-03,125
2007-06-03,126
2008-06-03,130
2009-06-03,130
2010-06-03,195
2011-06-03,144
2012-06-03,253
2013-06-03,178
2014-06-03,177
2015-06-03,141
2016-06-03,160
2017-06-03,210
2018-06-03,174
2019-06-03,183
2020-06-03,269
2021-06-03,224
2006-03-03,113
2007-03-03,136
2008-03-03,148
2009-03-03,132
2010-03-03,148
2011-03-03,152
2012-03-03,157
2013-03-03,154
2014-03-03,179
2015-03-03,154
2016-03-03,176
2017-03-03,154
2018-03-03,165
2019-03-03,177
2020-03-03,190
2021-03-03,205
2006-05-03,121
2007-05-03,122
2008-05-03,144
2009-05-03,152
2010-05-03,146
2011-05-03,179
2012-05-03,132
2013-05-03,183
2014-05-03,136
2015-05-03,152
2016-05-03,160
2017-05-03,130
2018-05-03,161
2019-05-03,194
2020-05-03,169
2021-05-03,667
2006-11-03,168
2007-11-03,133
2008-11-03,157
2009-11-03,121
2010-11-03,137
2011-11-03,141
2012-11-03,162
2013-11-03,161
2014-11-03,140
2015-11-03,187
2016-11-03,144
2017-11-03,207
2018-11-03,190
2019-11-03,217
2020-11-03,246
2006-10-03,145
2007-10-03,140
2008-10-03,140
2009-10-03,128
2010-10-03,129
2011-10-03,135
2012-10-03,161
2013-10-03,144
2014-10-03,135
2015-10-03,142
2016-10-03,159
2017-10-03,188
2018-10-03,147
2019-10-03,187
2020-10-03,222
2006-09-03,168
2007-09-03,127
2008-09-03,130
2009-09-03,112
2010-09-03,141
2011-09-03,150
2012-09-03,159
2013-09-03,141
2014-09-03,143
2015-09-03,157
2016-09-03,134
2017-09-03,159
