"month(date)","year(date)","count"
1,2006,4492
1,2007,4409
1,2008,4532
1,2009,4786
1,2010,5222
1,2011,5283
1,2012,5343
1,2013,4967
1,2014,5134
1,2015,5470
1,2016,5655
1,2017,5803
1,2018,5706
1,2019,6129
1,2020,5831
1,2021,6172
2,2006,3815
2,2007,3715
2,2008,3994
2,2009,3952
2,2010,4300
2,2011,4374
2,2012,4537
2,2013,4415
2,2014,4397
2,2015,4735
2,2016,4776
2,2017,4938
2,2018,5292
2,2019,5085
2,2020,5273
2,2021,5221
3,2006,3694
3,2007,3769
3,2008,4190
3,2009,4011
3,2010,4336
3,2011,4628
3,2012,4610
3,2013,4678
3,2014,4600
3,2015,5003
3,2016,4649
3,2017,4967
3,2018,5138
3,2019,5387
3,2020,4967
3,2021,5655
4,2006,3602
4,2007,3634
4,2008,4146
4,2009,3914
4,2010,4136
4,2011,4301
4,2012,4424
4,2013,4796
4,2014,4357
4,2015,4468
4,2016,4639
4,2017,4720
4,2018,4772
4,2019,4885
4,2020,4104
4,2021,7166
5,2006,3962
5,2007,4689
5,2008,4654
5,2009,4576
5,2010,4848
5,2011,4915
5,2012,5819
5,2013,5467
5,2014,5358
5,2015,5086
5,2016,5106
5,2017,5708
5,2018,5117
5,2019,5733
5,2020,6555
5,2021,2371
6,2006,3657
6,2007,3632
6,2008,3708
6,2009,4466
6,2010,4382
6,2011,4406
6,2012,5161
6,2013,4673
6,2014,5500
6,2015,4688
6,2016,4652
6,2017,4995
6,2018,5115
6,2019,6172
6,2020,7814
7,2006,3812
7,2007,3808
7,2008,3805
7,2009,3929
7,2010,4444
7,2011,4307
7,2012,4355
7,2013,4460
7,2014,4660
7,2015,4520
7,2016,4766
7,2017,5248
7,2018,5109
7,2019,5109
7,2020,6328
8,2006,4010
8,2007,3890
8,2008,3958
8,2009,3832
8,2010,4718
8,2011,4449
8,2012,4511
8,2013,4739
8,2014,4530
8,2015,4487
8,2016,4709
8,2017,5122
8,2018,4780
8,2019,5356
8,2020,6785
9,2006,4256
9,2007,3909
9,2008,4010
9,2009,4233
9,2010,4794
9,2011,4464
9,2012,4533
9,2013,4664
9,2014,4624
9,2015,4461
9,2016,4613
9,2017,5702
9,2018,4808
9,2019,5414
9,2020,7107
10,2006,4371
10,2007,3935
10,2008,4327
10,2009,4090
10,2010,4632
10,2011,4329
10,2012,4827
10,2013,4935
10,2014,4744
10,2015,4985
10,2016,4528
10,2017,5643
10,2018,5605
10,2019,6013
10,2020,6713
11,2006,4731
11,2007,4284
11,2008,4497
11,2009,4540
11,2010,4582
11,2011,4869
11,2012,5105
11,2013,4857
11,2014,5218
11,2015,6018
11,2016,4716
11,2017,5539
11,2018,5831
11,2019,6112
11,2020,6124
12,2006,4498
12,2007,4404
12,2008,4606
12,2009,5066
12,2010,5023
12,2011,4974
12,2012,4942
12,2013,5395
12,2014,5426
12,2015,6149
12,2016,5398
12,2017,5525
12,2018,5704
12,2019,5780
12,2020,6737
