"Date","Historical Avg (2015-2019)","Cumulative COVID Deaths","Daily COVID Deaths","14 Day Avg COVID Deaths","Registered Deaths","14 Day Avg Registered Deaths","Excess Deaths"
2020-04-26,158.014285714286,12,12,12,128,137.071428571429,-20.9428571428571
2020-04-27,158.771428571429,12,0,6,131,136,-22.7714285714286
2020-04-28,159.771428571429,13,1,4.33333333333333,135,137.5,-22.2714285714286
2020-04-29,159.257142857143,15,2,3.75,127,137.214285714286,-22.0428571428571
2020-04-30,159.657142857143,15,0,3,154,139.571428571429,-20.0857142857143
2020-05-01,159.042857142857,16,1,2.66666666666667,134,139.5,-19.5428571428571
2020-05-02,158.528571428571,17,1,2.42857142857143,166,141.928571428571,-16.6
2020-05-03,158.985714285714,17,0,2.125,169,143.285714285714,-15.7
2020-05-04,159.142857142857,18,1,2,131,144.071428571429,-15.0714285714286
2020-05-05,159.571428571429,20,2,2,133,142.357142857143,-17.2142857142857
2020-05-06,159.9,22,2,2,151,141.428571428571,-18.4714285714286
2020-05-07,160.514285714286,23,1,1.91666666666667,163,142.857142857143,-17.6571428571428
2020-05-08,161.071428571429,25,2,1.92307692307692,163,143.785714285714,-17.2857142857143
2020-05-09,161.442857142857,28,3,2,161,146.142857142857,-15.3
2020-05-10,161.9,29,1,1.21428571428571,204,151.571428571429,-10.3285714285714
2020-05-11,161.514285714286,33,4,1.5,179,155,-6.51428571428571
2020-05-12,162.514285714286,40,7,1.92857142857143,170,157.5,-5.01428571428571
2020-05-13,163.842857142857,43,3,2,161,159.928571428571,-3.91428571428574
2020-05-14,164.671428571429,45,2,2.14285714285714,168,160.928571428571,-3.74285714285716
2020-05-15,165.285714285714,49,4,2.35714285714286,180,164.214285714286,-1.07142857142856
2020-05-16,167.028571428571,52,3,2.5,205,167,-0.0285714285714391
2020-05-17,167.757142857143,54,2,2.64285714285714,188,168.357142857143,0.599999999999994
2020-05-18,168.728571428571,57,3,2.78571428571429,189,172.5,3.77142857142857
2020-05-19,169.3,59,2,2.78571428571429,202,177.428571428571,8.12857142857141
2020-05-20,168.885714285714,61,2,2.78571428571429,222,182.5,13.6142857142857
2020-05-21,168.6,68,7,3.21428571428571,251,188.785714285714,20.1857142857143
2020-05-22,170.571428571429,70,2,3.21428571428571,284,197.428571428571,26.8571428571429
2020-05-23,171.585714285714,75,5,3.35714285714286,302,207.5,35.9142857142857
2020-05-24,173.571428571429,81,6,3.71428571428571,302,214.5,40.9285714285714
2020-05-25,174.871428571429,87,6,3.85714285714286,246,219.285714285714,44.4142857142857
2020-05-26,176.771428571429,94,7,3.85714285714286,275,226.785714285714,50.0142857142857
2020-05-27,177.742857142857,98,4,3.92857142857143,266,234.285714285714,56.5428571428571
2020-05-28,178.157142857143,109,11,4.57142857142857,293,243.214285714286,65.0571428571429
2020-05-29,179.471428571429,116,7,4.78571428571429,303,252,72.5285714285714
2020-05-30,179.328571428571,122,6,5,313,259.714285714286,80.3857142857143
2020-05-31,180.514285714286,132,10,5.57142857142857,281,266.357142857143,85.8428571428571
2020-06-01,181.485714285714,141,9,6,273,272.357142857143,90.8714285714285
2020-06-02,181.628571428571,153,12,6.71428571428571,265,276.857142857143,95.2285714285714
2020-06-03,182.628571428571,153,0,6.57142857142857,269,280.214285714286,97.5857142857143
2020-06-04,182.614285714286,167,14,7.07142857142857,286,282.714285714286,100.1
2020-06-05,182.014285714286,179,12,7.78571428571429,270,281.714285714286,99.7
2020-06-06,181.614285714286,198,19,8.78571428571429,267,279.214285714286,97.6
2020-06-07,180.242857142857,213,15,9.42857142857143,249,275.428571428571,95.1857142857143
2020-06-08,178.914285714286,225,12,9.85714285714286,300,279.285714285714,100.371428571429
2020-06-09,177.471428571429,241,16,10.5,317,282.285714285714,104.814285714286
2020-06-10,176.142857142857,257,16,11.3571428571429,245,280.785714285714,104.642857142857
2020-06-11,176.414285714286,276,19,11.9285714285714,230,276.285714285714,99.8714285714286
2020-06-12,175.085714285714,291,15,12.5,234,271.357142857143,96.2714285714285
2020-06-13,175.285714285714,314,23,13.7142857142857,280,269,93.7142857142857
2020-06-14,175.685714285714,344,30,15.1428571428571,300,270.357142857143,94.6714285714285
2020-06-15,175.914285714286,379,35,17,281,270.928571428571,95.0142857142857
2020-06-16,176.142857142857,419,40,19,315,274.5,98.3571428571429
2020-06-17,175.957142857143,458,39,21.7857142857143,262,274,98.0428571428571
2020-06-18,176.057142857143,498,40,23.6428571428571,269,272.785714285714,96.7285714285714
2020-06-19,174.9,526,28,24.7857142857143,312,275.785714285714,100.885714285714
2020-06-20,174.585714285714,556,30,25.5714285714286,247,274.357142857143,99.7714285714285
2020-06-21,174.571428571429,598,42,27.5,229,272.928571428571,98.3571428571429
2020-06-22,175.2,620,22,28.2142857142857,219,267.142857142857,91.9428571428572
2020-06-23,174.1,642,22,28.6428571428571,240,261.642857142857,87.5428571428572
2020-06-24,173.857142857143,665,23,29.1428571428571,226,260.285714285714,86.4285714285714
2020-06-25,172.542857142857,691,26,29.6428571428571,242,261.142857142857,88.6
2020-06-26,171.957142857143,727,36,31.1428571428571,240,261.571428571429,89.6142857142857
2020-06-27,170.214285714286,773,46,32.7857142857143,251,259.5,89.2857142857143
2020-06-28,167.5,806,33,33,225,254.142857142857,86.6428571428571
2020-06-29,165.671428571429,843,37,33.1428571428571,243,251.428571428571,85.7571428571428
2020-06-30,164.414285714286,885,42,33.2857142857143,228,245.214285714286,80.8
2020-07-01,164.628571428571,926,41,33.4285714285714,206,241.214285714286,76.5857142857143
2020-07-02,163.642857142857,961,35,33.0714285714286,212,237.142857142857,73.5
2020-07-03,162.442857142857,993,32,33.3571428571429,228,231.142857142857,68.7
2020-07-04,162.214285714286,1030,37,33.8571428571429,212,228.642857142857,66.4285714285714
2020-07-05,161.885714285714,1051,21,32.3571428571429,200,226.571428571429,64.6857142857143
2020-07-06,161.314285714286,1079,28,32.7857142857143,206,225.642857142857,64.3285714285714
2020-07-07,161.6,1117,38,33.9285714285714,238,225.5,63.9
2020-07-08,161.628571428571,1143,26,34.1428571428571,232,225.928571428571,64.3
2020-07-09,162,1166,23,33.9285714285714,213,223.857142857143,61.8571428571429
2020-07-10,162.585714285714,1193,27,33.2857142857143,233,223.357142857143,60.7714285714286
2020-07-11,163.042857142857,1218,25,31.7857142857143,205,220.071428571429,57.0285714285714
2020-07-12,163.328571428571,1250,32,31.7142857142857,199,218.214285714286,54.8857142857143
2020-07-13,163.614285714286,1274,24,30.7857142857143,208,215.714285714286,52.1
